bigbang,boyorgrl,childs,chldidel,class,conarmy,conbiz,conchurh,concong,concourt,condrift,conschls,divorce,earthsun,electron,evolved,finalter,god,grass,gunlaw,helpoth,hlthdays,homosex1,hotcore,id,intecon,intintl,inttech,makefrnd,mntlhlth,obey,othersex,othlang,owngun,popular,racwork,radioact,rank,realinc,realrinc,relpersn,rowngun,satfin,sexeduc,sexornt,socbar,socfrend,socommun,socrel,solarrev,sprtprsn,thnkself,trustsci,viruses,workhard,xmarsex1,year
0,2,8,3,3,0,4,4,5,3,1,1,2,1,2,0,2,6,0,1,0,0,1,1,227,2,3,2,1,0,0,0,1,2,0,0,2,4,14755,8512.5,1,0,2,1,3,7,7,7,4,0,2,0,4,1,0,4,2018
0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,5,1,1,1,0,0,0,228,0,0,0,0,6,4,0,2,1,5,3,0,6,30645,17025,3,2,2,0,3,0,0,0,0,0,3,3,0,0,2,0,2018
0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,3,5,1,1,2,0,0,0,231,0,0,0,0,0,4,0,1,2,1,0,0,3,12485,4086,4,0,2,0,3,0,0,0,0,0,2,5,0,0,3,0,2018
0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,3,2,0,3,0,0,0,235,0,0,0,0,5,5,0,2,1,4,3,0,7,45400,17025,4,1,2,0,3,0,0,0,0,0,3,1,0,0,2,0,2018
0,0,4,5,3,0,3,4,5,4,1,3,1,1,2,0,1,6,0,1,0,0,1,1,237,1,3,3,2,0,0,0,2,2,0,3,2,5,14755,14755,1,0,1,2,3,7,4,4,5,1,1,0,1,1,0,1,2018
0,0,3,0,2,1,0,0,0,0,0,0,1,0,0,0,3,6,2,1,3,0,0,0,241,0,0,0,0,0,4,0,2,2,5,3,0,4,37455,17025,1,0,2,0,3,0,0,0,0,0,1,1,0,0,2,0,2018
0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6,1,1,3,0,0,0,242,0,0,0,0,3,4,0,1,2,5,0,0,5,20430,20430,2,0,1,0,3,0,0,0,0,0,2,2,0,0,1,0,2018
2,1,3,2,2,0,3,3,0,3,1,2,2,2,0,2,1,6,0,1,0,30,0,1,244,3,3,3,4,10,0,0,1,1,0,2,1,6,37455,17025,4,2,2,1,3,4,2,3,2,0,4,0,3,1,0,1,2018
0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6,1,1,2,0,0,0,247,0,0,0,0,5,4,0,1,1,5,1,0,7,37455,20430,2,1,1,0,3,0,0,0,0,0,2,3,0,0,1,0,2018
0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6,1,1,3,0,0,0,257,0,0,0,0,30,4,0,1,2,5,3,0,4,63560,14755,4,0,3,0,3,0,0,0,0,0,2,1,0,0,2,0,2018
0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,0,0,0,262,0,0,0,0,0,4,0,1,1,5,2,0,5,72640,6242.5,4,2,1,0,2,0,0,0,0,0,3,1,0,0,3,0,2018
0,1,2,2,3,0,3,3,4,3,1,3,2,1,1,1,2,5,0,1,0,0,3,1,265,1,1,2,2,0,0,0,2,1,0,0,2,3,119879.41732,14755,2,2,3,1,3,4,4,2,5,3,1,0,3,2,0,1,2018
0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,267,0,0,0,0,0,4,0,1,2,5,2,0,5,45400,37455,4,0,2,0,3,0,0,0,0,0,1,2,0,0,3,0,2018
0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,6,1,1,3,2,0,0,269,0,0,0,0,0,4,0,2,2,5,4,0,3,63560,30645,3,0,2,0,3,0,0,0,0,0,1,1,0,0,2,0,2018
0,1,1,3,2,0,3,3,4,4,1,3,0,1,2,0,1,6,0,1,0,0,4,1,270,2,3,1,2,2,0,0,1,2,0,3,1,2,37455,17025,2,0,2,1,3,3,2,2,3,3,1,0,3,2,0,1,2018
0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,5,2,1,1,2,0,0,271,0,0,0,0,2,4,0,2,2,5,3,0,7,30645,20430,3,0,1,0,3,0,0,0,0,0,1,2,0,0,3,0,2018
0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,3,5,1,1,3,1,0,0,273,0,0,0,0,1,4,2,1,2,5,3,0,6,30645,8512.5,2,0,2,0,3,0,0,0,0,0,2,1,0,0,2,0,2018
0,1,3,3,3,0,4,2,4,3,1,2,0,1,1,0,2,5,0,1,0,0,4,1,274,2,1,2,2,0,0,0,2,2,0,2,2,2,45400,6242.5,2,0,3,1,3,3,4,4,5,3,2,0,3,2,0,2,2018
0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,6,2,1,2,0,0,0,275,0,0,0,0,0,4,0,1,2,5,0,0,4,37455,24970,2,0,1,0,3,0,0,0,0,0,2,1,0,0,3,0,2018
0,0,2,0,3,1,0,0,0,0,0,0,2,0,0,0,1,2,1,1,3,0,0,0,277,0,0,0,0,0,4,0,2,2,5,2,0,1,119879.41732,151050.72136,4,0,1,0,3,0,0,0,0,0,3,2,0,0,1,0,2018
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,3,0,0,278,0,0,0,0,3,4,2,2,2,5,1,0,5,14755,6242.5,4,0,2,0,3,0,0,0,0,0,3,1,0,0,3,0,2018
0,0,1,0,3,2,0,0,0,0,0,0,2,0,0,0,1,1,1,1,3,0,0,0,279,0,0,0,0,0,5,0,2,2,4,3,0,4,54480,45400,4,0,1,0,3,0,0,0,0,0,4,1,0,0,2,0,2018
0,0,1,1,3,0,3,2,4,3,1,2,0,1,1,0,3,5,0,1,0,0,4,0,281,2,2,2,3,3,0,0,2,2,0,2,1,5,30645,30645,3,0,2,1,3,3,5,3,2,3,3,0,3,1,0,1,2018
